island,region,old_region,year,beekeepers,apiaries,hives,hives_beekeeper,apiary_beekeeper,type
North,Whangarei,Auckland,1989,1226,2479,20859,17.01386623,2.022022838,all
North,Hamilton,Hamilton,1989,671,3055,46506,69.30849478,4.55290611,all
North,Tauranga,Tauranga,1989,693,3826,59889,86.41991342,5.520923521,all
North,PalmerstonNorth,PalmerstonNorth,1989,1437,4165,38959,27.11134308,2.898399443,all
South,Blenheim,Nelson,1989,561,2223,25457,45.37789661,3.962566845,all
South,Canterbury,Christchurch,1989,901,5100,61072,67.78246393,5.660377358,all
South,Otago_Southland,Gore,1989,592,4456,58426,98.69256757,7.527027027,all
North,Whangarei,Whangarei,1990,1580,3576,33982,21.50759494,2.263291139,all
North,Hamilton,Hamilton,1990,659,3107,47596,72.2245827,4.714719272,all
North,Tauranga,Tauranga,1990,656,3664,54764,83.48170732,5.585365854,all
North,PalmerstonNorth,PalmerstonNorth,1990,1391,4064,39728,28.56074766,2.921639109,all
South,Blenheim,Nelson,1990,548,2052,23713,43.27189781,3.744525547,all
South,Canterbury,Christchurch,1990,783,4848,59677,76.21583653,6.191570881,all
South,Otago_Southland,Gore,1990,593,4475,58743,99.06070826,7.546374368,all
North,Whangarei,Whangarei,1991,1307,3046,32475,24.84697781,2.330527927,all
North,Hamilton,Hamilton,1991,649,3105,45661,70.3559322,4.784283513,all
North,Tauranga,Tauranga,1991,619,3541,53717,86.78029079,5.720516963,all
North,PalmerstonNorth,PalmerstonNorth,1991,1340,3917,40528,30.24477612,2.923134328,all
South,Blenheim,Blenheim,1991,505,1972,23284,46.10693069,3.904950495,all
South,Canterbury,Lincoln,1991,768,4937,58239,75.83203125,6.428385417,all
South,Otago_Southland,Alexandra,1991,586,4482,58338,99.55290102,7.648464164,all
North,Whangarei,Whangarei,1992,1316,3072,32301,24.54483283,2.334346505,all
North,Hamilton,Hamilton,1992,627,3044,45452,72.49122807,4.854864434,all
North,Tauranga,Tauranga,1992,602,3573,51938,86.27574751,5.935215947,all
North,PalmerstonNorth,PalmerstonNorth,1992,1332,3927,37554,28.19369369,2.948198198,all
South,Blenheim,Blenheim,1992,497,2048,23941,48.17102616,4.120724346,all
South,Canterbury,Lincoln,1992,758,4949,59090,77.95514512,6.529023747,all
South,Otago_Southland,Alexandra,1992,585,4344,53789,91.94700855,7.425641026,all
North,Whangarei,Whangarei,1993,1264,3033,30967,24.49920886,2.399525316,all
North,Hamilton,Hamilton,1993,596,2985,43185,72.45805369,5.008389262,all
North,Tauranga,Tauranga,1993,606,359,53043,87.52970297,0.592409241,all
North,PalmerstonNorth,PalmerstonNorth,1993,1319,3961,38446,29.14783927,3.0030326,all
South,Blenheim,Blenheim,1993,484,2036,22448,46.38016529,4.20661157,all
South,Canterbury,Lincoln,1993,765,5143,58116,75.96862745,6.722875817,all
South,Otago_Southland,Invermay ,1993,588,4373,52777,89.75680272,7.43707483,all
North,Whangarei,Whangarei,1994,1225,2972,29848,24.36571429,2.426122449,all
North,Hamilton,Hamilton,1994,584,3100,43749,74.91267123,5.308219178,all
North,Tauranga,Tauranga,1994,598,3696,50282,84.08361204,6.180602007,all
North,PalmerstonNorth,PalmerstonNorth,1994,1358,3957,35839,26.3910162,2.913843888,all
South,Blenheim,Blenheim,1994,474,2083,21190,44.70464135,4.394514768,all
South,Canterbury,Lincoln,1994,771,5315,58155,75.42801556,6.893644617,all
South,Otago_Southland,Invermay ,1994,555,4208,50812,91.55315315,7.581981982,all
North,Whangarei,Whangarei,1995,1213,2898,29101,23.99093157,2.38911789,all
North,Hamilton,Hamilton,1995,551,2905,43742,79.38656987,5.272232305,all
North,Tauranga,Tauranga,1995,537,3531,50631,94.2849162,6.575418994,all
North,PalmerstonNorth,PalmerstonNorth,1995,1352,4011,37245,27.54807692,2.966715976,all
South,Blenheim,Blenheim,1995,469,2037,22679,48.35607676,4.343283582,all
South,Canterbury,Lincoln,1995,735,5270,58861,80.0829932,7.170068027,all
South,Otago_Southland,Invermay ,1995,552,4112,50821,92.06702899,7.449275362,all
North,Whangarei,Whangarei,1996,1150,2687,28777,25.02347826,2.336521739,all
North,Hamilton,Hamilton,1996,530,2947,41270,77.86792453,5.560377358,all
North,Tauranga,Tauranga,1996,511,3414,47670,93.28767123,6.681017613,all
North,PalmerstonNorth,PalmerstonNorth,1996,1330,4005,38121,28.66240602,3.011278195,all
South,Blenheim,Blenheim,1996,463,1935,21775,47.03023758,4.179265659,all
South,Canterbury,Lincoln,1996,789,5361,58983,74.75665399,6.794676806,all
